6	6	6	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	1	1	0	
0	0	0	0	1	0	
0	0	0	0	1	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	7.t:0.s:2	4.t:1	3.r:4	2	0	
0	7.t:0.s:2	5.t:0	6.t:1.e:-2	8.e:0	0	
0	0	0	3.r:4	3.r:4	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	1	1	1	0	0	
0	1	0	0	0	0	
0	0	0	0	0	0	
0	0	1	1	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	1	1	0	1	0	
0	1	1	1	1	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
